,Specimen no  , Layer thickness (mm),Feed rate (mm/ s),Raster orientation,Peak Load,Flexural Strength (MPa),Predictions
0,1,0.05,20,0,162,129.510738,128.68730553000026
1,2,0.05,40,0,160,127.91184,128.0797242900002
2,3,0.05,60,0,159,127.11239099999999,127.34423121000013
3,4,0.05,20,45,157,125.513493,125.2176968700002
4,5,0.05,40,45,156,124.714044,124.91390625000017
5,6,0.05,60,45,154,123.115146,123.7147327500001
6,7,0.05,20,90,153,122.315697,122.18778515999999
7,8,0.05,40,90,152,121.51624799999999,121.86800555999994
8,9,0.05,60,90,150,119.91735,120.7647659399999
9,10,0.1,20,0,149,119.11790099999999,117.63092585999989
10,11,0.1,40,0,146,116.71955399999999,116.35980194999993
11,12,0.1,60,0,145,115.92010499999999,115.24057334999992
12,13,0.1,20,45,143,114.321207,113.74560372000016
13,14,0.1,40,45,141,112.722309,112.7542869600001
14,15,0.1,60,45,138,110.323962,111.25931733000017
15,16,0.1,20,90,137,109.524513,110.27599506000013
16,17,0.1,40,90,137,109.524513,109.73236974000014
17,18,0.1,60,90,135,107.925615,108.8209978800001
18,19,0.15,20,0,135,107.925615,106.92630375
19,20,0.15,40,0,133,106.326717,106.11086576999995
20,21,0.15,60,0,129,103.12892099999999,103.95235346999982
21,22,0.15,20,45,128,102.329472,102.17757668999998
22,23,0.15,40,45,127,101.530023,101.56200095999999
23,24,0.15,60,45,126,100.73057399999999,100.85049134999997
24,25,0.15,20,90,125,99.931125,99.49942253999993
25,26,0.15,40,90,122,97.532778,98.31623801999999
26,27,0.15,60,90,121,96.733329,97.46882207999994
27,28,0.2,20,0,120,95.93388,94.83863487
28,29,0.2,40,0,117,93.535533,93.7114117800001
29,30,0.2,60,0,116,92.73608399999999,92.74407849000006
30,31,0.2,20,45,115,91.936635,91.62484989
31,32,0.2,40,45,114,91.137186,91.20913640999996
32,33,0.2,60,45,113,90.33773699999999,90.6175441499999
33,34,0.2,20,90,112,89.538288,89.47433207999988
34,35,0.2,40,90,111,88.738839,89.07460757999985
35,36,0.2,60,90,110,87.93939,88.3950759299998
36,37,0.25,20,0,109,87.139941,86.54834874000005
37,38,0.25,40,0,107,85.541043,86.05269036000007
38,39,0.25,60,0,106,84.74159399999999,85.38914769000006
39,40,0.25,20,45,105,83.942145,85.18129095000006
40,41,0.25,40,45,104,83.142696,85.09335156000006
41,42,0.25,60,45,103,82.34324699999999,84.78956094000004
42,43,0.25,20,90,102,81.543798,85.16530197000006
43,44,0.25,40,90,101,80.744349,85.10134605000006
44,45,0.25,60,90,100,79.94489999999999,84.74958849000006
45,46,0.3,20,0,99,79.145451,86.54834874000005
46,47,0.3,40,0,98,78.346002,86.05269036000007
47,48,0.3,60,0,97,77.546553,85.38914769000006
48,49,0.3,20,45,96,76.747104,85.18129095000006
49,50,0.3,40,45,95,75.947655,85.09335156000006
50,51,0.3,60,45,92,73.549308,84.78956094000004
51,52,0.3,20,90,91,72.749859,85.16530197000006
52,53,0.3,40,90,81,64.755369,85.10134605000006
53,54,0.3,60,90,75,59.958675,84.74958849000006
