,Specimen no  , Layer thickness (mm),Feed rate (mm/ s),Raster orientation,Peak Load,Flexural Strength (MPa),Type,Predictions
0,1,0.05,20,0,162,129.510738,Train,127.75195020000022
1,2,0.05,40,0,160,127.91184,Test,126.88055079000019
2,3,0.05,60,0,159,127.11239099999999,Test,126.70467201000018
3,4,0.05,20,45,157,125.513493,Train,125.44154259000021
4,5,0.05,40,45,156,124.714044,Test,124.46621481000015
5,6,0.05,60,45,154,123.115146,Train,123.8746225500001
6,7,0.05,20,90,153,122.315697,Train,123.37896417000009
7,8,0.05,40,90,152,121.51624799999999,Train,122.01190637999997
8,9,0.05,60,90,150,119.91735,Test,122.09185127999997
9,10,0.1,20,0,149,119.11790099999999,Test,114.66497006999998
10,11,0.1,40,0,146,116.71955399999999,Test,114.45711332999996
11,12,0.1,60,0,145,115.92010499999999,Train,114.30521801999994
12,13,0.1,20,45,143,114.321207,Train,113.3858516700002
13,14,0.1,40,45,141,112.722309,Train,112.54643022000016
14,15,0.1,60,45,138,110.323962,Train,111.10742202000021
15,16,0.1,20,90,137,109.524513,Train,110.41190139000015
16,17,0.1,40,90,137,109.524513,Train,109.90025403000014
17,18,0.1,60,90,135,107.925615,Test,109.94822097000015
18,19,0.15,20,0,135,107.925615,Train,106.56655170000003
19,20,0.15,40,0,133,106.326717,Train,105.84704759999995
20,21,0.15,60,0,129,103.12892099999999,Train,103.99232591999986
21,22,0.15,20,45,128,102.329472,Test,106.64649660000005
22,23,0.15,40,45,127,101.530023,Test,105.89501453999996
23,24,0.15,60,45,126,100.73057399999999,Test,103.96834244999984
24,25,0.15,20,90,125,99.931125,Train,102.87309731999996
25,26,0.15,40,90,122,97.532778,Test,102.40142240999992
26,27,0.15,60,90,121,96.733329,Test,101.68191830999992
27,28,0.2,20,0,120,95.93388,Train,94.55083322999991
28,29,0.2,40,0,117,93.535533,Test,93.25572584999995
29,30,0.2,60,0,116,92.73608399999999,Train,92.20045316999999
30,31,0.2,20,45,115,91.936635,Test,92.8240233899999
31,32,0.2,40,45,114,91.137186,Train,91.44897110999993
32,33,0.2,60,45,113,90.33773699999999,Train,90.83339537999993
33,34,0.2,20,90,112,89.538288,Test,91.0572410999999
34,35,0.2,40,90,111,88.738839,Train,89.20251941999987
35,36,0.2,60,90,110,87.93939,Train,88.50699878999981
36,37,0.25,20,0,109,87.139941,Train,85.50906504000005
37,38,0.25,40,0,107,85.541043,Test,84.92546727000003
38,39,0.25,60,0,106,84.74159399999999,Test,84.66164910000002
39,40,0.25,20,45,105,83.942145,Test,83.46247559999996
40,41,0.25,40,45,104,83.142696,Train,83.07074558999993
41,42,0.25,60,45,103,82.34324699999999,Train,82.66302659999991
42,43,0.25,20,90,102,81.543798,Train,81.8875610699999
43,44,0.25,40,90,101,80.744349,Train,81.04014512999986
44,45,0.25,60,90,100,79.94489999999999,Train,80.4885253200001
45,46,0.3,20,0,99,79.145451,Test,77.99424444000005
46,47,0.3,40,0,98,78.346002,Train,78.25806261000007
47,48,0.3,60,0,97,77.546553,Test,75.88369907999996
48,49,0.3,20,45,96,76.747104,Train,77.01092217000001
49,50,0.3,40,45,95,75.947655,Test,77.45061912000006
50,51,0.3,60,45,92,73.549308,Train,75.05227211999993
51,52,0.3,20,90,91,72.749859,Test,76.94696625000002
52,53,0.3,40,90,81,64.755369,Test,77.43463014000004
53,54,0.3,60,90,75,59.958675,Test,75.11622803999994
